SMA5,EMA5,SMA10,EMA10,SMA50,EMA50,SMA100,EMA100,Close
0.3316966,0.3349872928,0.332143,0.3342092794,0.32392854,0.3408292534,0.36620537,0.3393177412,0.339286
0.3325896,0.3312118618,0.3319198,0.3322914104,0.32361604,0.3401559886,0.36484377,0.3390077067,0.323661
0.3316968,0.3279509079,0.3312502,0.3303164267,0.32343748,0.3394215969,0.36345985,0.3386596135,0.321429
0.329911,0.3280089386,0.3303573,0.3299179855,0.32352676,0.3389785931,0.36229914,0.3384510073,0.328125
0.329911,0.3310239591,0.3292413,0.3312154427,0.3239732,0.3389031188,0.36118307,0.3384233438,0.337054
0.3285716,0.3315456394,0.3301341,0.3314651804,0.3242857,0.3386555063,0.35984378,0.3383078122,0.332589
0.3303572,0.3318934263,0.3314734,0.3316695112,0.32455356,0.3384176041,0.35886163,0.3381945684,0.332589
0.3330356,0.3328692842,0.3323662,0.3322425092,0.3252232,0.3382765608,0.35823663,0.3381277651,0.334821
0.333482,0.3320318561,0.3316965,0.3318996893,0.32593748,0.3379659898,0.3574777,0.3379738886,0.330357
0.3339284,0.3344499041,0.3319197,0.3332426549,0.32687498,0.3380177549,0.35662949,0.337999871,0.339286
0.3357142,0.336805936,0.3321429,0.3347472631,0.32861606,0.3381550194,0.35569199,0.3380695369,0.341518
0.3361606,0.3361442907,0.3332589,0.3347606698,0.33017856,0.3380242736,0.35457591,0.3380052094,0.334821
0.3366072,0.3364475271,0.3348214,0.3351776389,0.33151786,0.3379862236,0.35332591,0.3379863736,0.337054
0.3379466,0.3366496848,0.3357143,0.3355187955,0.33281252,0.3379496658,0.35238841,0.3379679107,0.337054
0.3370536,0.3360401232,0.335491,0.3353919236,0.33406252,0.3378269731,0.35145091,0.3379055957,0.334821
0.3334822,0.3319137488,0.3345982,0.3332590284,0.33464288,0.3372714447,0.35064734,0.3376235245,0.323661
0.3330358,0.3321388325,0.3345982,0.333137205,0.33522324,0.3370878194,0.34982144,0.3375238309,0.332589
0.3352678,0.3374972217,0.3359375,0.3358784405,0.33616074,0.3375241402,0.34901787,0.3377355174,0.348214
0.3433034,0.3507421478,0.340625,0.3433972695,0.33732146,0.3390813112,0.3483259,0.338517626,0.377232
0.3580356,0.3699887652,0.3475446,0.3552308569,0.33888396,0.3418029068,0.34810268,0.3399030592,0.408482
0.3714284,0.3768675101,0.3524553,0.3616661556,0.34004468,0.3437174987,0.34776786,0.340907454,0.390625
0.3843748,0.3836853401,0.3587053,0.3681488546,0.3411161,0.3458195968,0.34734375,0.3420245539,0.397321
0.3924106,0.3852545601,0.3638392,0.3718296083,0.34200896,0.347489142,0.34676339,0.342942741,0.388393
0.3950892,0.3870447067,0.3691963,0.3752469522,0.34334824,0.3491807443,0.34625,0.3438869441,0.390625
0.3879464,0.3822858045,0.372991,0.3747962337,0.34419646,0.3501057347,0.34549107,0.3444588462,0.372768
0.3857142,0.381345203,0.3785713,0.3756449184,0.34526788,0.3512570393,0.34466517,0.3451520176,0.379464
0.3852678,0.3859264687,0.3848213,0.379180206,0.34651788,0.3529759397,0.34410713,0.3461408687,0.395089
